ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ICHTHYOMYINI ,Ichthyomys twedii,,Especie esperada,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,SIGMODONTINI ,"Sigmodon hirsutus (Burmeister, 1854)",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Handleyomys alfaroi (J. A. Allen, 1891) ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Melanomys chrysomelas (Tomes, 1860)",Hanson & Bradley 2008,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Nephelomys devius (Bangs, 1902)*",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Oecomys trinitatis (J. A. Allen y Chapman, 1893) ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Oligoryzomys costaricensis (Saussure, 1860) ",González-Ittig et al 2014,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Oligoryzomys vegetus (Bangs, 1902)* ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Oryzomys couesi (Alston, 1877)",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Sigmodontomys alfari J. A. Allen, 1897",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Tanyuromys aphrastus (Harris, 1932)*",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Transandinomys bolivaris (J. A. Allen, 1901) ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ,"Transandinomys talamancae (J. A. Allen, 1891)",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,ORYZOMYINI ," Zygodontomys brevicauda (J. A. Allen y Chapman, 1893) ",,,
